配方ID,配方名称,输入材料,输出材料,主产物,副产物,合成釜,温度,压力,虚境共鸣,停留时间,最小并行度,描述
r001_pig_iron,高炉炼铁,铁矿石(iron_ore) | 焦炭(coke),生铁(pig_iron) | 炉渣(slag),生铁(pig_iron),炉渣(slag),基础熔炼釜,高,高,关闭,中,1,铁矿石在高炉中被焦炭还原，得到生铁和炉渣。
r002_pig_iron_parallel,高炉炼铁（鼓风）,铁矿石(iron_ore) | 焦炭(coke) | 空气(air),生铁(pig_iron) | 炉渣(slag),生铁(pig_iron),炉渣(slag),高压合成釜,高,高,关闭,中,2,鼓入空气的高炉炼铁，效率更高，炉渣更多。
r003_blister_copper,火法炼铜,铜矿石(copper_ore) | 空气(air),粗铜(blister_copper) | 二氧化硫(sulfur_dioxide),粗铜(blister_copper),二氧化硫(sulfur_dioxide),基础熔炼釜,高,中,关闭,中,1,硫化铜矿石在空气中煅烧，得到粗铜和二氧化硫。
r004_alumina,拜耳法提铝,铝土矿(bauxite),氧化铝(alumina),氧化铝(alumina),无,高压合成釜,中,高,关闭,长,1,在高温高压下用碱液溶解铝土矿，提取氧化铝。
r005_crude_tin,还原炼锡,锡矿石(tin_ore) | 焦炭(coke),粗锡(crude_tin),粗锡(crude_tin),无,基础熔炼釜,高,中,关闭,中,1,氧化锡被焦炭还原，得到粗锡。
r006_crude_lead,还原炼铅,铅矿石(lead_ore) | 焦炭(coke),粗铅(crude_lead),粗铅(crude_lead),无,基础熔炼釜,高,中,关闭,中,1,硫化铅被焦炭还原，得到粗铅。
r007_crude_zinc,还原炼锌,锌矿石(zinc_ore) | 焦炭(coke),粗锌(crude_zinc),粗锌(crude_zinc),无,基础熔炼釜,高,中,关闭,中,1,硫化锌被焦炭还原蒸馏，得到粗锌。
r008_crude_gold,金矿提取,金矿石(gold_ore),粗金(crude_gold),粗金(crude_gold),无,电解分离釜,中,中,关闭,长,1,通过电解法从含金矿石中提取粗金。
r009_crude_silver,铅银共炼,银矿石(silver_ore) | 铅矿石(lead_ore),粗银(crude_silver) | 粗铅(crude_lead),粗银(crude_silver),粗铅(crude_lead),基础熔炼釜,高,中,关闭,中,1,银铅矿石共炼，银富集在铅中，需后续电解分离。
r010_sulfur_dioxide,硫磺燃烧,硫磺矿(sulfur_ore) | 空气(air),二氧化硫(sulfur_dioxide),二氧化硫(sulfur_dioxide),无,气相反应釜,高,低,关闭,短,1,硫磺在空气中燃烧生成二氧化硫。
r011_pyrite_roast,黄铁矿焙烧,黄铁矿(pyrite) | 空气(air),二氧化硫(sulfur_dioxide) | 炉渣(slag),二氧化硫(sulfur_dioxide),炉渣(slag),基础熔炼釜,高,中,关闭,中,1,黄铁矿焙烧脱硫，得到二氧化硫和氧化铁炉渣。
r012_quicklime,石灰煅烧,石灰石(limestone),生石灰(quicklime) | 二氧化碳(carbon_dioxide),生石灰(quicklime),二氧化碳(carbon_dioxide),基础熔炼釜,高,低,关闭,中,1,石灰石高温分解，得到生石灰和二氧化碳。
r013_coke,煤干馏,煤炭(coal),焦炭(coke),焦炭(coke),无,基础熔炼釜,高,低,关闭,长,1,煤炭在隔绝空气条件下高温干馏，得到焦炭。
r014_steel,转炉炼钢,生铁(pig_iron) | 空气(air),钢(steel),钢(steel),无,基础熔炼釜,高,中,关闭,中,1,生铁在转炉中被空气氧化脱碳，得到钢。
r015_refined_copper,电解精炼铜,粗铜(blister_copper),精炼铜(refined_copper),精炼铜(refined_copper),无,电解分离釜,中,中,关闭,长,1,粗铜在电解槽中精炼，得到高纯度精炼铜。
r016_pure_aluminum,电解铝,氧化铝(alumina),纯铝(pure_aluminum),纯铝(pure_aluminum),无,电解分离釜,高,高,关闭,长,1,氧化铝在电解槽中熔融电解，得到纯铝。
